message,dtTime,userID,user,type,episode
留弹幕纪念,32.689,78adcb23,78adcb23,2,1
年费的微笑,32.756,fb18b55e,fb18b55e,2,1
5块的微笑,32.806,f2c91c9,f2c91c9,2,1
电影看过很多遍了，花5块钱只是为了看大家的弹幕！,32.818,56c7da57,56c7da57,2,1
五块钱的弹幕,33.052,b3eb1aa,b3eb1aa,2,1
嚣张一下,33.155,b5ad0114,b5ad0114,2,1
纪念2.5,33.172,c0983f02,c0983f02,2,1
都是大会员，大家嚣张点！,33.26,fefe7e88,fefe7e88,2,1
不发个2块5对不起自己,33.278,b6213cd6,b6213cd6,2,1
明天看沙赞的报道,33.278,f340e6e6,f340e6e6,2,1
留下2.5的痕迹,33.28,3382df27,3382df27,2,1
2.5,33.318,5415e5ea,5415e5ea,2,1
awsl,33.341,96522630,96522630,2,1
这是2.5元的弹幕哦,33.342,19c6f70c,19c6f70c,2,1
zxy,33.358,8ba730ba,8ba730ba,2,1
留下付费的印记,33.396,d8c19c00,d8c19c00,2,1
两块五,33.438,20e9dd43,20e9dd43,2,1
声卡落家里了吗？cnm,33.479,5562374f,5562374f,2,1
我也想低调啊，可实力他不允许啊,33.48,5c319d66,5c319d66,2,1
富贵使我们相遇,33.531,a2d98abf,a2d98abf,2,1
2.5B，不发不痛快,33.536,f27190c1,f27190c1,2,1
DC大法好啊！,33.64,88ec6275,88ec6275,1,1
留下贫穷的泪水,33.706,da20e381,da20e381,2,1
没声音吗,33.852,1ceac49,1ceac49,2,1
你们都嚣张一点啊,33.938,288e567c,288e567c,2,1
哈哈哈哈哈哈哈哈哈哈有钱真好、,33.947,5d6291f,5d6291f,2,1
年费的嚣张,33.962,9981aedf,9981aedf,2,1
哈哈哈哈哈,34.04,fc19fcfc,fc19fcfc,2,1
花了钱 就嚣张一点！,34.141,23534502,23534502,2,1
不得不说，在座各位都是钞能力。,34.198,177de971,177de971,2,1
留下足迹,34.218,fd5382,fd5382,2,1
5块钱的弹幕,34.271,705c037f,705c037f,2,1
潘禛弟弟,34.36,9b28a74a,9b28a74a,2,1
2.5 liu nian,34.385,a09618ee,a09618ee,2,1
为了省2.5我去开了个会员,34.401,d5e967db,d5e967db,2,1
两块五的微笑,34.557,5d557288,5d557288,2,1
2.5,34.558,5f85d336,5f85d336,2,1
嘿嘿,34.581,70f1627e,70f1627e,2,1
2.5啊,34.658,1565d7d4,1565d7d4,2,1
好哦,34.838,1282c1f8,1282c1f8,2,1
如果富有有颜色那一定是粉色,34.88,3213d468,3213d468,2,1
2.5,34.958,db12b167,db12b167,2,1
踩踩,34.998,a8e07a7f,a8e07a7f,2,1
2.5吼吼吼,35.005,1bcd27be,1bcd27be,2,1
¥2.50,35.18,a0cfd552,a0cfd552,2,1
２．５会员的微笑,35.2,b61a5f97,b61a5f97,2,1
来自年费的嚣张,35.209,42f96985,42f96985,2,1
海王！！！！,35.238,6cb2b92a,6cb2b92a,1,1
2.5让我们相聚一堂,35.368,ddc7e813,ddc7e813,2,1
滑稽树说滑稽果,35.399,a16017a7,a16017a7,2,1
2,35.438,cc21f646,cc21f646,2,1
富有的眼泪,35.577,dfccb391,dfccb391,2,1
5块,35.669,6b85d12b,6b85d12b,2,1
2.5,35.74,fa267043,fa267043,2,1
啊,35.763,28c20a6e,28c20a6e,2,1
啥,35.802,4b2d4ef,4b2d4ef,2,1
留念,35.838,bed0cbf5,bed0cbf5,2,1
还行,35.861,f17ebf49,f17ebf49,2,1
是什么使我们相遇,35.898,beafa688,beafa688,2,1
此弹幕价值： 2.5块,35.983,18e1ca35,18e1ca35,2,1
嘿嘿,36.037,48c14824,48c14824,2,1
来了来了,36.054,54f48f6,54f48f6,2,1
发个弹幕纪念一下两块五,36.159,5adbf9a1,5adbf9a1,2,1
5块花的值，双倍快乐,36.16,80eb009c,80eb009c,2,1
这是一套价值2.5的弹幕,36.242,6f24ead0,6f24ead0,2,1
大家都是？,36.599,dd8eb02e,dd8eb02e,2,1
可年费是全网最贵的,36.689,83a9833c,83a9833c,2,1
五块钱，穷,36.718,6fd335f7,6fd335f7,2,1
2.5啊不留点什么说不过去,36.745,dded70c7,dded70c7,2,1
花钱了,36.863,a4975755,a4975755,2,1
富有的微笑,37.035,ee59cd21,ee59cd21,2,1
会员的都嚣张起来,37.039,8431918b,8431918b,2,1
3.31路过,37.101,169aa147,169aa147,2,1
嚣张,37.102,6ee4a20c,6ee4a20c,2,1
emmm，看来大家都是钞能力者,37.298,7dd70d87,7dd70d87,2,1
年费了解一下》？,37.333,19d192ab,19d192ab,2,1
年会的微笑,37.364,6d728c62,6d728c62,2,1
2.5的微笑,37.43,913cac73,913cac73,2,1
就我一个五块？？？？,37.475,386b3c7b,386b3c7b,2,1
2.5,37.486,6884c9fc,6884c9fc,2,1
还有1080,37.578,a773d828,a773d828,2,1
没错你聋了,37.659,eda65443,eda65443,2,1
笑笑,37.697,8d863308,8d863308,2,1
富人的微笑,38.61,6adbdfb3,6adbdfb3,2,1
5块的弹幕啊，发一个,38.623,80eb009c,80eb009c,2,1
我的耳朵啊,38.72,f1b1ec1f,f1b1ec1f,2,1
两块五的微笑,38.758,922c4baf,922c4baf,2,1
2.5的弹幕,38.906,f91915ce,f91915ce,2,1
2.5钞能力六年,38.979,a2cac470,a2cac470,2,1
你们rnb,39.37,6fc7c959,6fc7c959,2,1
钞能力使我们相聚,39.482,8f9ee08c,8f9ee08c,2,1
差点耳朵瞎了,39.718,3721ab6d,3721ab6d,2,1
666666,40.233,2a9e74c5,2a9e74c5,2,1
2.5块的贵族,40.46,f9843961,f9843961,2,1
留下jio印,40.632,9298f057,9298f057,2,1
富贵,40.672,85fbcebb,85fbcebb,2,1
两块五合影,40.959,c862295a,c862295a,2,1
2.5,41.038,fdc2f9d7,fdc2f9d7,2,1
嘤嘤嘤，大会员要过期了,41.118,27ca359e,27ca359e,2,1
富贵让我们相遇,41.133,5be3ae8f,5be3ae8f,2,1
年费的微笑,41.252,bc58be4b,bc58be4b,2,1
聋了,41.761,a931e5f9,a931e5f9,2,1
宣告破产,42.032,f06c872e,f06c872e,2,1
5快的弹幕，为b站值了,42.201,f1123229,f1123229,2,1
蒽,42.24,87bbbe1f,87bbbe1f,2,1
年费会员花了2.5B币的弹幕,42.705,42ec503a,42ec503a,2,1
都花钱了都嚣张一点,42.892,5ebec870,5ebec870,2,1
五块钱的弹幕,42.922,b3eb1aa,b3eb1aa,2,1
红红火火恍恍惚惚,43.022,721a3e50,721a3e50,2,1
2.5的微笑，虽然首映看过了,43.091,cfbbd4d7,cfbbd4d7,2,1
wdnmd你们真的啊,43.118,b057f55e,b057f55e,2,1
2块5 最少要留下一条弹幕,43.215,8fc7e42a,8fc7e42a,2,1
都是会员 嚣张点,43.654,cabc79e1,cabc79e1,2,1
恕我直言，在座的各位都是充钱玩家,43.713,f263c233,f263c233,2,1
吓老子一跳,43.721,f813363d,f813363d,1,1
年度大会员的微笑,44.016,4957c822,4957c822,2,1
