message,dtTime,userID,user,type,episode
2.5,33.318,5415e5ea,5415e5ea,2,2
awsl,33.341,96522630,96522630,2,2
这是2.5元的弹幕哦,33.342,19c6f70c,19c6f70c,2,2
zxy,33.358,8ba730ba,8ba730ba,2,2
留下付费的印记,33.396,d8c19c00,d8c19c00,2,2
两块五,33.438,20e9dd43,20e9dd43,2,2
声卡落家里了吗？cnm,33.479,5562374f,5562374f,2,2
我也想低调啊，可实力他不允许啊,33.48,5c319d66,5c319d66,2,2
富贵使我们相遇,33.531,a2d98abf,a2d98abf,2,2
2.5B，不发不痛快,33.536,f27190c1,f27190c1,2,2
留下贫穷的泪水,33.706,da20e381,da20e381,2,2
没声音吗,33.852,1ceac49,1ceac49,2,2
你们都嚣张一点啊,33.938,288e567c,288e567c,2,2
哈哈哈哈哈哈哈哈哈哈有钱真好、,33.947,5d6291f,5d6291f,2,2
年费的嚣张,33.962,9981aedf,9981aedf,2,2
哈哈哈哈哈,34.04,fc19fcfc,fc19fcfc,2,2
花了钱 就嚣张一点！,34.141,23534502,23534502,2,2
不得不说，在座各位都是钞能力。,34.198,177de971,177de971,2,2
留下足迹,34.218,fd5382,fd5382,2,2
5块钱的弹幕,34.271,705c037f,705c037f,2,2
潘禛弟弟,34.36,9b28a74a,9b28a74a,2,2
2.5 liu nian,34.385,a09618ee,a09618ee,2,2
为了省2.5我去开了个会员,34.401,d5e967db,d5e967db,2,2
两块五的微笑,34.557,5d557288,5d557288,2,2
2.5,34.558,5f85d336,5f85d336,2,2
嘿嘿,34.581,70f1627e,70f1627e,2,2
2.5啊,34.658,1565d7d4,1565d7d4,2,2
好哦,34.838,1282c1f8,1282c1f8,2,2
如果富有有颜色那一定是粉色,34.88,3213d468,3213d468,2,2
2.5,34.958,db12b167,db12b167,2,2
踩踩,34.998,a8e07a7f,a8e07a7f,2,2
2.5吼吼吼,35.005,1bcd27be,1bcd27be,2,2
¥2.50,35.18,a0cfd552,a0cfd552,2,2
２．５会员的微笑,35.2,b61a5f97,b61a5f97,2,2
来自年费的嚣张,35.209,42f96985,42f96985,2,2
2.5让我们相聚一堂,35.368,ddc7e813,ddc7e813,2,2
滑稽树说滑稽果,35.399,a16017a7,a16017a7,2,2
2,35.438,cc21f646,cc21f646,2,2
富有的眼泪,35.577,dfccb391,dfccb391,2,2
5块,35.669,6b85d12b,6b85d12b,2,2
2.5,35.74,fa267043,fa267043,2,2
啊,35.763,28c20a6e,28c20a6e,2,2
啥,35.802,4b2d4ef,4b2d4ef,2,2
留念,35.838,bed0cbf5,bed0cbf5,2,2
还行,35.861,f17ebf49,f17ebf49,2,2
是什么使我们相遇,35.898,beafa688,beafa688,2,2
此弹幕价值： 2.5块,35.983,18e1ca35,18e1ca35,2,2
嘿嘿,36.037,48c14824,48c14824,2,2
来了来了,36.054,54f48f6,54f48f6,2,2
发个弹幕纪念一下两块五,36.159,5adbf9a1,5adbf9a1,2,2
5块花的值，双倍快乐,36.16,80eb009c,80eb009c,2,2
这是一套价值2.5的弹幕,36.242,6f24ead0,6f24ead0,2,2
大家都是？,36.599,dd8eb02e,dd8eb02e,2,2
可年费是全网最贵的,36.689,83a9833c,83a9833c,2,2
五块钱，穷,36.718,6fd335f7,6fd335f7,2,2
2.5啊不留点什么说不过去,36.745,dded70c7,dded70c7,2,2
花钱了,36.863,a4975755,a4975755,2,2
富有的微笑,37.035,ee59cd21,ee59cd21,2,2
会员的都嚣张起来,37.039,8431918b,8431918b,2,2
3.31路过,37.101,169aa147,169aa147,2,2
嚣张,37.102,6ee4a20c,6ee4a20c,2,2
emmm，看来大家都是钞能力者,37.298,7dd70d87,7dd70d87,2,2
年费了解一下》？,37.333,19d192ab,19d192ab,2,2
年会的微笑,37.364,6d728c62,6d728c62,2,2
2.5的微笑,37.43,913cac73,913cac73,2,2
就我一个五块？？？？,37.475,386b3c7b,386b3c7b,2,2
2.5,37.486,6884c9fc,6884c9fc,2,2
还有1080,37.578,a773d828,a773d828,2,2
没错你聋了,37.659,eda65443,eda65443,2,2
笑笑,37.697,8d863308,8d863308,2,2
富人的微笑,38.61,6adbdfb3,6adbdfb3,2,2
5块的弹幕啊，发一个,38.623,80eb009c,80eb009c,2,2
我的耳朵啊,38.72,f1b1ec1f,f1b1ec1f,2,2
两块五的微笑,38.758,922c4baf,922c4baf,2,2
2.5的弹幕,38.906,f91915ce,f91915ce,2,2
2.5钞能力六年,38.979,a2cac470,a2cac470,2,2
你们rnb,39.37,6fc7c959,6fc7c959,2,2
钞能力使我们相聚,39.482,8f9ee08c,8f9ee08c,2,2
差点耳朵瞎了,39.718,3721ab6d,3721ab6d,2,2
666666,40.233,2a9e74c5,2a9e74c5,2,2
2.5块的贵族,40.46,f9843961,f9843961,2,2
留下jio印,40.632,9298f057,9298f057,2,2
富贵,40.672,85fbcebb,85fbcebb,2,2
两块五合影,40.959,c862295a,c862295a,2,2
2.5,41.038,fdc2f9d7,fdc2f9d7,2,2
嘤嘤嘤，大会员要过期了,41.118,27ca359e,27ca359e,2,2
富贵让我们相遇,41.133,5be3ae8f,5be3ae8f,2,2
年费的微笑,41.252,bc58be4b,bc58be4b,2,2
聋了,41.761,a931e5f9,a931e5f9,2,2
宣告破产,42.032,f06c872e,f06c872e,2,2
5快的弹幕，为b站值了,42.201,f1123229,f1123229,2,2
蒽,42.24,87bbbe1f,87bbbe1f,2,2
年费会员花了2.5B币的弹幕,42.705,42ec503a,42ec503a,2,2
都花钱了都嚣张一点,42.892,5ebec870,5ebec870,2,2
五块钱的弹幕,42.922,b3eb1aa,b3eb1aa,2,2
红红火火恍恍惚惚,43.022,721a3e50,721a3e50,2,2
2.5的微笑，虽然首映看过了,43.091,cfbbd4d7,cfbbd4d7,2,2
wdnmd你们真的啊,43.118,b057f55e,b057f55e,2,2
2块5 最少要留下一条弹幕,43.215,8fc7e42a,8fc7e42a,2,2
都是会员 嚣张点,43.654,cabc79e1,cabc79e1,2,2
恕我直言，在座的各位都是充钱玩家,43.713,f263c233,f263c233,2,2
年度大会员的微笑,44.016,4957c822,4957c822,2,2
来自五块钱的弹幕,44.048,46ad37ce,46ad37ce,2,2
5块弹幕,44.197,d0c5eec0,d0c5eec0,2,2
年费的微笑,44.379,1216a84,1216a84,2,2
啊2.5我快破产了 还剩2.5 滑稽= =,44.46,3e2b3554,3e2b3554,2,2
58,44.529,fdec80a7,fdec80a7,2,2
2.5,44.839,d33033dc,d33033dc,2,2
2.5块,44.853,fd8e8f5e,fd8e8f5e,2,2
第一次用b币,45.387,66f7bdbc,66f7bdbc,2,2
五块的泪水,45.478,161f350,161f350,2,2
各位好(✪▽✪),45.638,c1c64713,c1c64713,2,2
呜呜呜呜,45.641,e08fc3d4,e08fc3d4,2,2
嚣张的微笑,45.7,b95d4980,b95d4980,2,2
说实话，老子用的是b站送的5个B币才看得起这电影，真的太贵了,45.905,a44ff2fc,a44ff2fc,2,2
